engineName,submissionDate,powerOutput,pressure,velocity,acceleration,weight
engine_0,2024-09-16 10:20:16.847481,280,238,70,78,17
engine_1,2024-07-30 10:20:16.847481,27,49,16,63,63
engine_2,2024-08-23 10:20:16.847481,8,221,195,19,18
engine_3,2024-08-12 10:20:16.847481,243,266,246,211,170
engine_4,2024-09-29 10:20:16.847481,168,283,38,298,177
engine_5,2024-10-07 10:20:16.847481,233,285,239,204,149
engine_6,2024-09-18 10:20:16.847481,102,198,103,296,167
engine_7,2024-09-05 10:20:16.847481,6,115,172,246,92
engine_8,2024-08-26 10:20:16.847481,143,56,136,152,185
engine_9,2024-09-11 10:20:16.847481,56,115,68,226,166
engine_10,2024-09-02 10:20:16.847481,263,291,86,188,296
engine_11,2024-09-22 10:20:16.847481,92,95,66,32,58
engine_12,2024-07-29 10:20:16.847481,164,294,292,223,139
engine_13,2024-08-20 10:20:16.847481,42,197,64,172,208
engine_14,2024-08-23 10:20:16.847481,142,134,176,189,150
engine_15,2024-08-01 10:20:16.847481,24,271,139,160,40
engine_16,2024-09-03 10:20:16.847481,201,97,32,157,221
engine_17,2024-10-28 10:20:16.847481,237,23,37,87,167
engine_18,2024-08-14 10:20:16.847481,191,84,42,133,147
engine_19,2024-09-06 10:20:16.847481,47,94,222,167,192
engine_20,2024-08-13 10:20:16.847481,5,38,101,46,75
engine_21,2024-07-29 10:20:16.847481,50,135,282,185,131
engine_22,2024-09-26 10:20:16.847481,88,152,251,50,166
engine_23,2024-08-07 10:20:16.847481,218,47,38,21,268
engine_24,2024-08-02 10:20:16.847481,208,293,79,282,240
engine_25,2024-08-22 10:20:16.847481,213,167,222,180,91
engine_26,2024-09-15 10:20:16.847481,124,89,116,276,194
engine_27,2024-08-27 10:20:16.847481,68,221,54,214,131
engine_28,2024-09-24 10:20:16.847481,230,262,122,188,79
engine_29,2024-09-02 10:20:16.847481,65,283,165,128,165
engine_30,2024-09-19 10:20:16.847481,85,29,15,18,113
